supplier_name,product_type,product_name,price,unit,region,source_url,collected_at,collected_by,material,moq,stock,delivery_days,warranty_months,trust_score,note
Noi That Hunter,ghế văn phòng,Ghế gấp Qui Phúc GG02,295000,cai,Da Nang,https://noithathunter.com/san-pham/ghe-gap-qui-phuc/,2026-09-18,C,,,,,,,
Noi That Hunter,ghế văn phòng,Ghế xếp liền bàn GG01,380000,cai,Da Nang,https://noithathunter.com/san-pham/ghe-xep-lien-ban/,2026-09-18,C,,,,,,,
Noi That Hunter,bàn làm việc,Bàn làm việc chữ K BLVK01,480000,cai,Da Nang,https://noithathunter.com/san-pham/ban-lam-viec-chu-k/,2026-09-18,C,,,,,,,
Hoa Phat HCM,kệ,Kệ Sắt V Lỗ,750000,cai,TP.HCM,https://hoaphathcm.vn/san-pham/ke-sat-v-lo-762.html,2026-09-18,C,,,,,,,
Hoa Phat HCM,kệ,Kệ Sắt Đựng Hồ Sơ 3 Tầng,750000,cai,TP.HCM,https://hoaphathcm.vn/san-pham/ke-sat-dung-ho-so-3-tang-844.html,2026-09-18,C,,,,,,,
Hoa Phat HCM,kệ,Kệ Sắt V Lỗ 3 Tầng Hòa Phát,750000,cai,TP.HCM,https://hoaphathcm.vn/san-pham/ke-sat-v-lo-3-tang-hoa-phat-857.html,2026-09-18,C,,,,,,,
Hoa Phat HCM,kệ,Kệ Sắt V Lỗ 4 Tầng,823000,cai,TP.HCM,https://hoaphathcm.vn/san-pham/ke-sat-v-lo-4-tang-763.html,2026-09-18,C,,,,,,,
Hoa Phat HCM,kệ,Kệ Sắt Đựng Hồ Sơ 4 Tầng,823000,cai,TP.HCM,https://hoaphathcm.vn/san-pham/ke-sat-dung-ho-so-4-tang-845.html,2026-09-18,C,,,,,,,
Noi That Xuan Hoa,tủ hồ sơ,TỦ GỖ VĂN PHÒNG 17-01,,cai,Da Nang,https://xuanhoa.vn/sp/tu-go-tg-17-01-bh-2294,2026-09-18,C,,,,,,,
Noi That Xuan Hoa,tủ hồ sơ,TỦ SẮT VĂN PHÒNG 3A,,cai,Da Nang,https://xuanhoa.vn/sp/tu-sat-ca-3a-lg,2026-09-18,C,,,,,,,
Noi That Xuan Hoa,tủ hồ sơ,TỦ SẮT VĂN PHÒNG 1A,,cai,Ha Noi,https://xuanhoa.vn/sp/tu-sat-ca-1a-lg,2026-09-18,C,,,,,,,
Noi That Xuan Hoa,tủ hồ sơ,TỦ SẮT CHỨA ĐỒ (LOCKER) 9 NGĂN,,cai,Ha Noi,https://xuanhoa.vn/sp/tu-sat-ca-lk-9n-03-1-724,2026-09-18,C,,,,,,,
Noi That Xuan Hoa,bàn làm việc,BÀN LÀM VIỆC BLV-02-00,,cai,Da Nang,https://xuanhoa.vn/sp/ban-lam-viec-blv-02-00,2026-09-18,C,,,,,,,
Noi That Xuan Hoa,bàn làm việc,BÀN VI TÍNH ALPHA BVT-07-03,,cai,Da Nang,https://xuanhoa.vn/sp/ban-vi-tinh-bvt-07-03-alpha-388,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV8008 Ghế văn phòng chân xoay lưng lưới nệm ngồi màu xanh,1170000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv8008-ghế-văn-phòng-chân-xoay-lưng-lưới-nệm-ngồi-màu-xanh,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV8007 Ghế văn phòng chân xoay khung nhựa PP nệm xanh,1170000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv8007-ghế-văn-phòng-chân-xoay-khung-nhựa-pp-nệm-xanh,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV7061 Ghế phòng họp chân quỳ lưng lưới màu đen,1390000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv7061-ghế-phòng-họp-chân-quỳ-lưng-lưới-màu-đen,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV7061 Ghế phòng họp chân quỳ lưng lưới nệm xanh,1390000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv7061-ghế-phòng-họp-chân-quỳ-lưng-lưới-nệm-xanh,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV7061 Ghế văn phòng chân xoay lưng lưới cao cấp,1480000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv7061-ghế-văn-phòng-chân-xoay-lưng-lưới-cao-cấp,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV8007 Ghế phòng họp chân quỳ lưng nhựa PP bọc lưới,1080000,cai,Ha Noi,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv8007-ghế-phòng-họp-chân-quỳ-lưng-nhựa-pp-bọc-lưới,2026-09-18,C,,,,,,,
Ngoc Tin,kệ,Kệ Hồ Sơ Văn Phòng NTKHSVP9094,899999,cai,TP.HCM,https://kesatngoctin.com/san-pham/gia-de-ho-so,2026-09-18,C,,,,,,,
Ngoc Tin,kệ,Kệ hồ sơ 5 Tầng NTKSVL56 Dài 1m x Rộng 0.3m x Cao 2m,1090000,cai,TP.HCM,https://kesatngoctin.com/san-pham/ke-sat-v-lo-5-tang-de-tai-lieu-ntksvl56,2026-09-18,C,,,,,,,
Ngoc Tin,kệ,Kệ Hồ Sơ Văn Phòng NTKHSVP9103,1255000,cai,TP.HCM,https://kesatngoctin.com/san-pham/ke-ho-so-van-phong-gia-re-ntkhsvp9103,2026-09-18,C,,,,,,,
Ngoc Tin,kệ,Kệ hồ sơ văn phòng NTKHSVP9097,1265000,cai,TP.HCM,https://kesatngoctin.com/san-pham/ke-sat-van-phong-05,2026-09-18,C,,,,,,,
Ngoc Tin,kệ,Kệ hồ sơ văn phòng NTKHSVP9099,1265000,cai,TP.HCM,https://kesatngoctin.com/san-pham/ke-sat-van-phong-04,2026-09-18,C,,,,,,,
Ngoc Tin,kệ,Kệ Hồ Sơ Văn Phòng NTKHSVP9092,899000,cai,Ha Noi,https://kesatngoctin.com/san-pham/ke-de-ho-so,2026-09-18,C,,,,,,,
Gia Ke De Hang Pro,kệ,kệ để đồ  ( dài 80cm x sâu 40cm x cao 100cm ) 3 tầng,450000,cai,Ha Noi,https://giakedehangpro.com/ke-de-do-dai-80cm-x-sau-40cm-x-cao-100cm-3-tang,2026-09-18,C,,,,,,,
Gia Ke De Hang Pro,kệ,"Kệ để hàng đa năng v lỗ 4 tầng - Để đựng Hàng hóa, Đồ dùng, Rượu (DxRxC 1m x 0.4m x 1m)",600000,cai,Ha Noi,https://giakedehangpro.com/ke-de-ruou-dai-1m-x-sau-0-4m-x-cao-1m-4-tang,2026-09-18,C,,,,,,,
Gia Ke De Hang Pro,kệ,kệ giày dép ( dài 1m x sâu 0.4m x cao 1m ) 4 tầng,600000,cai,Ha Noi,https://giakedehangpro.com/ke-giay-dep-dai-1m-x-sau-0-4m-x-cao-1m-4-tang,2026-09-18,C,,,,,,,
Gia Ke De Hang Pro,kệ,Giá kệ  trưng bày tạp hóa,620000,cai,Ha Noi,https://giakedehangpro.com/gia-ke-trung-bay-tap-hoa,2026-09-18,C,,,,,,,
Gia Ke De Hang Pro,kệ,Giá kệ kho lắp ghép,630000,cai,Ha Noi,https://giakedehangpro.com/gia-ke-kho-lap-ghep,2026-09-18,C,,,,,,,
Gia Ke De Hang Pro,tủ hồ sơ,tủ sắt locket 4 ô,1050000,cai,Ha Noi,https://giakedehangpro.com/tu-sat-locket-4-o,2026-09-18,C,,,,,,,
Tekkashop,ghế văn phòng,"Tekkashop HTGVB2312 Ghế văn phòng chân xoay, lưng lưới xanh lá phối nệm đen",1820000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgvb2312-ghế-văn-phòng-chân-xoay-lưng-lưới-xanh-lá-phối-nệm-đen,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV2312 Ghế văn phòng công thái học lưng lưới chân xoay,1660000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2312-ghế-văn-phòng-công-thái-học-lưng-lưới-chân-xoay,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV2312 Ghế văn phòng công thái học có tựa đầu lưng lưới,1860000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2312-ghế-văn-phòng-công-thái-học-có-tựa-đầu-lưng-lưới,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,"Tekkashop HTGV2211 Ghế văn phòng kiểu dáng công thái học lưng lưới có tựa đầu, gác chân",5440000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2211-ghế-văn-phòng-kiểu-dáng-công-thái-học-lưng-lưới-có-tựa-đầu-gác-chân,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,"Tekkashop HTGV2211 Ghế văn phòng công thái học lưng lưới có tựa đầu, gác chân",5730000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2211-ghế-văn-phòng-công-thái-học-lưng-lưới-có-tựa-đầu-gác-chân,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV2201 Ghế phòng họp thiết kế công thái học lưng lưới chân quỳ,1560000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2201-ghế-phòng-họp-thiết-kế-công-thái-học-lưng-lưới-chân-quỳ,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV2201 Ghế phòng họp công thái học lưng lưới chân quỳ,2080000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2201-ghế-phòng-họp-công-thái-học-lưng-lưới-chân-quỳ,2026-09-19,C,,,,,,,
Tekkashop,ghế văn phòng,Tekkashop HTGV2201 Ghế văn phòng công thái học chân xoay có tựa đầu lưng lưới,1860000,cai,Da Nang,https://tekkashop.com.vn/collections/ghế-văn-phòng/products/tekkashop-htgv2201-ghế-văn-phòng-công-thái-học-chân-xoay-có-tựa-đầu-lưng-lưới,2026-09-19,C,,,,,,,
Tekkashop,bàn làm việc,"Tekkashop GVVP310 Bàn làm việc 1m4 kèm hộc tủ 3 ngăn kéo, chân vuông chữ U, gỗ công nghiệp phủ Melamine, khung thép sơn tĩnh điện",2643000,cai,Da Nang,https://tekkashop.com.vn/collections/bàn-làm-việc/products/tekkashop-gvvp310-bàn-làm-việc-1m4-kèm-hộc-tủ-3-ngăn-kéo-chân-vuông-chữ-u-gỗ-công-nghiệp-phủ-melamine-khung-thép-sơn-tĩnh-điện,2026-09-19,C,go_cong_nghiep,,,,,,
Tekkashop,bàn làm việc,"Tekkashop GVVP280 Bàn làm việc 1m2 kèm hộc tủ 3 ngăn kéo, chân vuông chữ U, gỗ công nghiệp phủ Melamine, khung thép sơn tĩnh điện",2357000,cai,Da Nang,https://tekkashop.com.vn/collections/bàn-làm-việc/products/tekkashop-gvvp280-bàn-làm-việc-1m2-kèm-hộc-tủ-3-ngăn-kéo-chân-vuông-chữ-u-gỗ-công-nghiệp-phủ-melamine-khung-thép-sơn-tĩnh-điện,2026-09-19,C,go_cong_nghiep,,,,,,
Tekkashop,bàn làm việc,"Tekkashop GVVP230 Bàn làm việc 1m2 gỗ công nghiệp phủ Melamine, khung sắt sơn tĩnh điện, chân vuông chữ U màu trắng phối gỗ",1986000,cai,Da Nang,https://tekkashop.com.vn/collections/bàn-làm-việc/products/tekkashop-gvvp230-bàn-làm-việc-1m2-gỗ-công-nghiệp-phủ-melamine-khung-sắt-sơn-tĩnh-điện-chân-vuông-chữ-u-màu-trắng-phối-gỗ,2026-09-19,C,go_cong_nghiep,,,,,,
Tekkashop,bàn làm việc,"Tekkashop GVVP210 Bàn làm việc chân vuông chữ U kèm tủ treo 2 ngăn, mặt bàn gỗ công nghiệp phủ Melamine, kích thước: W1200 x D600 x H750 mm",1829000,cai,Da Nang,https://tekkashop.com.vn/collections/bàn-làm-việc/products/tekkashop-gvvp210-bàn-làm-việc-chân-vuông-chữ-u-kèm-tủ-treo-2-ngăn-mặt-bàn-gỗ-công-nghiệp-phủ-melamine-kích-thước-w1200-x-d600-x-h750-mm,2026-09-19,C,go_cong_nghiep,,,,,,
Tekkashop,bàn làm việc,"Tekkashop GVVP190 Bàn làm việc chân vuông chữ U, kèm tủ 2 ngăn kéo, mặt bàn gỗ công nghiệp phủ Melamine, kích thước: W1200 x D600 x H750 mm",1643000,cai,Da Nang,https://tekkashop.com.vn/collections/bàn-làm-việc/products/tekkashop-gvvp190-bàn-làm-việc-chân-vuông-chữ-u-kèm-tủ-2-ngăn-kéo-mặt-bàn-gỗ-công-nghiệp-phủ-melamine-kích-thước-w1200-x-d600-x-h750-mm,2026-09-19,C,go_cong_nghiep,,,,,,
Tekkashop,bàn làm việc,"Tekkashop GVVP180 Bàn làm việc chân vuông kèm ngăn kéo có khóa, mặt bàn gỗ công nghiệp phủ Melamine, kích thước: W1200 x D600 x H750 mm",1314000,cai,Da Nang,https://tekkashop.com.vn/collections/bàn-làm-việc/products/tekkashop-gvvp180-bàn-làm-việc-chân-vuông-kèm-ngăn-kéo-có-khóa-mặt-bàn-gỗ-công-nghiệp-phủ-melamine-kích-thước-w1200-x-d600-x-h750-mm,2026-09-19,C,go_cong_nghiep,,,,,,
Tekkashop,tủ hồ sơ,Tekkashop HOVP321 Tủ Hồ Sơ Cá Nhân 3 Ngăn Kéo Gỗ Cao Su AA Xuất Khẩu,2750000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp321-tủ-hồ-sơ-cá-nhân-3-ngăn-kéo-gỗ-cao-su-aa-xuất-khẩu,2026-09-19,C,go_cao_su,,,,,,
Tekkashop,tủ hồ sơ,Tekkashop HOVP321 Tủ Hồ Sơ Cá Nhân 3 Ngăn Kéo Gỗ Cao Su AA Màu Cánh Gián,2750000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp321-tủ-hồ-sơ-cá-nhân-3-ngăn-kéo-gỗ-cao-su-aa-màu-cánh-gián,2026-09-19,C,go_cao_su,,,,,,
Tekkashop,tủ hồ sơ,Tekkashop HOVP303 Tủ Hồ Sơ Cá Nhân 1 Ngăn Kéo và 1 Ngăn Cửa Bằng Gỗ Cao Su AA Cao Cấp,2600000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp303-tủ-hồ-sơ-cá-nhân-1-ngăn-kéo-và-1-ngăn-cửa-bằng-gỗ-cao-su-aa-cao-cấp,2026-09-19,C,go_cao_su,,,,,,
Tekkashop,tủ hồ sơ,"Tekkashop HOVP525 Tủ Hồ Sơ Để Đầu Bàn Gỗ Cao Su AA, Có Ngăn Để Cây Xanh",4500000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp525-tủ-hồ-sơ-để-đầu-bàn-gỗ-cao-su-aa-có-ngăn-để-cây-xanh,2026-09-19,C,go_cao_su,,,,,,
Tekkashop,tủ hồ sơ,Tekkashop HOVP293 Tủ Gỗ Đựng Hồ Sơ Văn Phòng W2700xD350xH1700 mm,25150000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp293-tủ-gỗ-đựng-hồ-sơ-văn-phòng-w2700xd350xh1700-mm,2026-09-19,C,,,,,,,
Tekkashop,tủ hồ sơ,Tekkashop HOVP800 Tủ Hồ Sơ Gỗ Cao Su 4 Tầng Cửa Kính,6860000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp800-tủ-hồ-sơ-gỗ-cao-su-4-tầng-cửa-kính,2026-09-19,C,go_cao_su,,,,,,
Tekkashop,tủ hồ sơ,Tekkashop HOVP825 Tủ Hồ Sơ 4 Tầng Gỗ Cao Su Cửa Kính,7080000,cai,Da Nang,https://tekkashop.com.vn/collections/tủ-gỗ/products/tekkashop-hovp825-tủ-hồ-sơ-4-tầng-gỗ-cao-su-cửa-kính,2026-09-19,C,go_cao_su,,,,,,
Tekkashop,kệ,Tekkashop GVVP150 Giá kệ sắt 6 tầng (Xám đậm),1286000,cai,Da Nang,https://tekkashop.com.vn/collections/kệ-kho/products/tekkashop-gvvp150-giá-kệ-sắt-6-tầng-xám-đậm-kích-thước-w1000-x-d400-x-h2000-mm,2026-09-19,C,kim_loai,,,,,,
Tekkashop,kệ,Tekkashop GVVP150 Giá kệ sắt 6 tầng (Trắng),1286000,cai,Da Nang,https://tekkashop.com.vn/collections/kệ-kho/products/tekkashop-gvvp150-giá-kệ-sắt-6-tầng-trắng-kích-thước-w1000x-d400x-h2000-mm,2026-09-19,C,kim_loai,,,,,,
Tekkashop,kệ,Tekkashop GVVP130 Giá kệ sắt 5 tầng (Xám),1143000,cai,Da Nang,https://tekkashop.com.vn/collections/kệ-kho/products/tekkashop-gvvp130-giá-kệ-sắt-5-tầng-xám-kích-thước-w1000x-d400x-h2000-mm,2026-09-19,C,kim_loai,,,,,,
Tekkashop,kệ,Tekkashop GVVP130 Giá kệ sắt 4 tầng (Xám đậm),1071000,cai,Da Nang,https://tekkashop.com.vn/collections/kệ-kho/products/tekkashop-gvvp130-giá-kệ-sắt-4-tầng-xám-đậm-kích-thước-w1000-x-d400-x-h2000-mm,2026-09-19,C,kim_loai,,,,,,
Tekkashop,kệ,Tekkashop GVVP900 Giá kệ sắt 3 tầng (Xám đậm),786000,cai,Da Nang,https://tekkashop.com.vn/collections/kệ-kho/products/tekkashop-gvvp900-giá-kệ-sắt-3-tầng-xám-đậm-kích-thước-w1000-x-d400-x-h1200-mm,2026-09-19,C,kim_loai,,,,,,
Tekkashop,kệ,Tekkashop GVVP210 Giá kệ sắt 6 tầng (Đen),1786000,cai,Da Nang,https://tekkashop.com.vn/collections/kệ-kho/products/tekkashop-gvvp210-giá-kệ-sắt-6-tầng-đen-kích-thước-w1000x-d400x-h2000-mm,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế chân quỳ da nâu FMQ551N,1927000,cai,Ha Noi,https://noithathoaphat.com.vn/products/ghe-chan-quy-da-nau-fmq551n.html,2026-09-19,C,da_that,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế Chân Quỳ FMQ565,2450000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Ghế-Chân-Quỳ-FMQ565.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế công thái học FMX328G,2287000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Ghế-công-thái-học-FMX328G.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế da chân quỳ FMQ551,1927000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Ghế-da-chân-quỳ-FMQ551.html,2026-09-19,C,da_that,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế lưới lưng cao FMX821T,2287000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Ghế-lưới-lưng-cao-FMX821T.html,2026-09-19,C,luoi_nhua,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế lưới nhân viên cỡ lớn GL217,1187700,cai,Ha Noi,https://noithathoaphat.com.vn/products/Ghế-lưới-nhân-viên-cỡ-lớn-GL217.html,2026-09-19,C,luoi_nhua,,,,,,
Noi That Hoa Phat,ghế văn phòng,Ghế lưới nhân viên GL216,1380300,cai,Ha Noi,https://noithathoaphat.com.vn/products/Ghế-lưới-nhân-viên-GL216.html,2026-09-19,C,luoi_nhua,,,,,,
Noi That Hoa Phat,bàn làm việc,Bàn chân sắt 1m2 BRI120C15,2033000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-1m2-BRI120C15.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,bàn làm việc,Bàn chân sắt 1m6 BRI160C15,2450300,cai,Ha Noi,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-1m6-BRI160C15.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,bàn làm việc,Bàn chân sắt Hòa Phát LUX140C10,2000900,cai,Ha Noi,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-Hòa-Phát-LUX140C10.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,bàn làm việc,Bàn chân sắt hộc liền 1m2 BRI120SHLC15,2525200,cai,Ha Noi,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-hộc-liền-1m2-BRI120SHLC15.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,bàn làm việc,Bàn chân sắt mặt gỗ 1m4 BRI140C15,2247000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-mặt-gỗ-1m4-BRI140C15.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,bàn làm việc,Bàn chuyên viên chân sắt 1m2 BRI120SC15,1904600,cai,Ha Noi,https://noithathoaphat.com.vn/products/Bàn-chuyên-viên-chân-sắt-1m2-BRI120SC15.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,tủ hồ sơ,Tủ hồ sơ 2 buồng DC940VM9,6184600,cai,Ha Noi,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-2-buồng-DC940VM9.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,tủ hồ sơ,Tủ hồ sơ 3 buồng DC1240V9,9020100,cai,Ha Noi,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-3-buồng-DC1240V9.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,tủ hồ sơ,Tủ hồ sơ 3 ngăn kéo TU3FD,2418200,cai,Ha Noi,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-3-ngăn-kéo-TU3FD.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,tủ hồ sơ,Tủ hồ sơ 4 khoang TU09K8CK,6773100,cai,Ha Noi,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-4-khoang-TU09K8CK.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,tủ hồ sơ,Tủ hồ sơ 4 ngăn TU09K4D,3327700,cai,Ha Noi,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-4-ngăn-TU09K4D.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,tủ hồ sơ,Tủ hồ sơ 6 ngăn TU09K6D,3381200,cai,Ha Noi,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-6-ngăn-TU09K6D.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,kệ,Giá sắt 4 tầng GTT15-4P,2428900,cai,Ha Noi,https://noithathoaphat.com.vn/products/Giá-sắt-4-tầng-GTT15-4P.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,kệ,Giá sắt trung tải 3 tầng GTT15-3P,1979500,cai,Ha Noi,https://noithathoaphat.com.vn/products/Giá-sắt-trung-tải-3-tầng-GTT15-3P.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,kệ,Giá sắt đựng tập File GS6,2086500,cai,Ha Noi,https://noithathoaphat.com.vn/products/Giá-sắt-đựng-tập-File-GS6.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,kệ,Giá thép đa năng GS2K1,1926000,cai,Ha Noi,https://noithathoaphat.com.vn/products/Giá-thép-đa-năng-GS2K1.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,kệ,Kệ sắt 4 tầng GTT20-4P,3135100,cai,Ha Noi,https://noithathoaphat.com.vn/products/Kệ-sắt-4-tầng-GTT20-4P.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,kệ,Kệ sắt trung tải 3 tầng GTT20-3P,2514500,cai,Ha Noi,https://noithathoaphat.com.vn/products/Kệ-sắt-trung-tải-3-tầng-GTT20-3P.html,2026-09-19,C,kim_loai,,,,,,
Noi That Hoa Phat,sofa,Bộ ghế sofa bọc vải SF47,13407100,bo,Ha Noi,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-bọc-vải-SF47.html,2026-09-19,C,vai_boc,,,,,,
Noi That Hoa Phat,sofa,Bộ ghế sofa cao cấp Hòa Phát SF508,17344700,bo,Ha Noi,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-cao-cấp-Hòa-Phát-SF508.html,2026-09-19,C,,,,,,,
Noi That Hoa Phat,sofa,Bộ ghế sofa cao cấp SF306A,24577900,bo,Ha Noi,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-cao-cấp-SF306A.html,2026-09-19,C,,,,,,,
